phrase,sentiment,category,confidence,context_notes,beat_appreciation,gen_z_slang
the talent jumped out,positive,praise_performance,0.9,Talent was clearly displayed,False,True
the beat though,positive,praise_production,0.95,Appreciation for the beat/production,True,False
the beat tho,positive,praise_production,0.95,Casual appreciation for beat,True,False
beat goes hard,positive,praise_production,0.95,Beat is impressive,True,False
beat is fire,positive,praise_production,0.95,Beat is excellent,True,False
beat slaps,positive,praise_production,0.9,Beat hits hard,True,False
who made this beat,positive,praise_production,0.9,Asking about producer - shows appreciation,True,False
who made this beat bro,positive,praise_production,0.9,Casual inquiry about producer,True,False
who produced this,positive,praise_production,0.85,Asking about producer,True,False
car test passed,positive,praise_production,0.85,Mix sounds good in car speakers,True,False
passed the car test,positive,praise_production,0.85,Audio quality approved,True,False
this just passed the car test,positive,praise_production,0.85,Recently confirmed good audio quality,True,False
sheeeesh,positive,hype_excitement,0.9,Expression of amazement/approval,False,True
sheeesh,positive,hype_excitement,0.9,Shorter version of amazement,False,True
sheesh,positive,hype_excitement,0.85,Casual amazement expression,False,True
oh my,positive,hype_excitement,0.8,Excitement/surprise,False,False
oh my yes,positive,hype_excitement,0.85,Enthusiastic approval,False,False
fuck it up,positive,hype_excitement,0.85,Encouragement to perform well,False,False
yessir,positive,hype_excitement,0.85,Affirmative excitement,False,False
yessuh,positive,hype_excitement,0.85,Casual affirmative excitement,False,False
yes sir,positive,hype_excitement,0.8,Formal affirmative excitement,False,False
bitchhh,positive,hype_excitement,0.8,Extended exclamation of excitement,False,False
bitch it's giving,positive,hype_excitement,0.85,Excited approval,False,True
bitch it's givinnnng,positive,hype_excitement,0.85,Very excited approval,False,True
periodt,positive,hype_excitement,0.85,Period with emphasis - end of discussion,False,True
period,positive,hype_excitement,0.75,"End of discussion, agreement",False,True
no cap,positive,hype_excitement,0.8,No lie/for real - agreement,False,True
for the culture,positive,cultural_identity,0.9,Supporting cultural representation,False,False
for the culture fr,positive,cultural_identity,0.9,"Supporting culture, for real",False,False
for the girls,positive,cultural_identity,0.85,Supporting female empowerment,False,False
real music is back,positive,cultural_identity,0.8,Appreciation for authentic music,False,False
we stan,positive,cultural_identity,0.85,We support/love this artist,False,True
I stan,positive,cultural_identity,0.85,I support this artist,False,True
I stan a queen,positive,cultural_identity,0.9,I support this female artist,False,True
stan forever,positive,cultural_identity,0.85,Permanent support,False,True
bestie,positive,cultural_identity,0.75,Friend/supportive term,False,True
bestie goals,positive,cultural_identity,0.8,Friendship aspirations,False,True
bestie goals fr,positive,cultural_identity,0.8,Real friendship goals,False,True
on repeat,positive,engagement_behavioral,0.95,Playing song repeatedly,False,False
this on repeat,positive,engagement_behavioral,0.95,Playing this song repeatedly,False,False
been on repeat,positive,engagement_behavioral,0.95,Has been playing repeatedly,False,False
on repeat all day,positive,engagement_behavioral,0.95,Playing all day long,False,False
this on repeat all day,positive,engagement_behavioral,0.95,This song playing all day,False,False
been on repeat since it dropped,positive,engagement_behavioral,0.95,Playing since release,False,False
no skips,positive,engagement_behavioral,0.9,Every song is good,False,False
front to back no skips,positive,engagement_behavioral,0.95,Entire album is excellent,False,False
album no skips,positive,engagement_behavioral,0.9,No bad songs on album,False,False
went platinum in my car,positive,engagement_behavioral,0.85,Heavy rotation in car,False,False
went platinum in my headphones,positive,engagement_behavioral,0.85,Heavy personal listening,False,False
went platinum in my room,positive,engagement_behavioral,0.85,Heavy home listening,False,False
saved my life,positive,engagement_behavioral,0.9,Song had major emotional impact,False,False
this saved my life,positive,engagement_behavioral,0.9,This song was emotionally important,False,False
gym playlist,positive,engagement_behavioral,0.8,Adding to workout playlist,False,False
on my gym playlist,positive,engagement_behavioral,0.8,In my workout rotation,False,False
obsessed,positive,engagement_behavioral,0.8,Really love this,False,True
lowkey obsessed,positive,engagement_behavioral,0.8,Somewhat obsessed,False,True
highkey obsessed,positive,engagement_behavioral,0.85,Very obsessed,False,True
drop the album,positive,anticipation_demand,0.85,Wanting album release,False,False
drop the album already,positive,anticipation_demand,0.85,Impatient for album release,False,False
we need the album,positive,anticipation_demand,0.8,Community wants album,False,False
we need the album now,positive,anticipation_demand,0.8,Urgent album request,False,False
album when,positive,anticipation_demand,0.75,When is album coming,False,False
need the lyrics,positive,anticipation_demand,0.8,Wanting to engage more with song,False,False
I need the lyrics,positive,anticipation_demand,0.8,Personal request for lyrics,False,False
where are the lyrics,positive,anticipation_demand,0.75,Looking for lyrics,False,False
please come to atlanta,positive,anticipation_demand,0.75,Wanting live performance,False,False
come to my city,positive,anticipation_demand,0.75,Tour request,False,False
friday can't come sooner,positive,anticipation_demand,0.8,Anticipating release,False,False
part two please,positive,anticipation_demand,0.75,Wanting sequel/continuation,False,False
part two pleaseee,positive,anticipation_demand,0.75,Eager for continuation,False,False
10/10,positive,praise_general,0.95,Perfect score,False,False
100/10,positive,praise_general,0.95,Beyond perfect score,False,False
11/10,positive,praise_general,0.95,Exceeds perfect score,False,False
100!,positive,praise_general,0.9,Perfect/complete approval,False,False
SOTY,positive,praise_general,0.9,Song of the year,False,False
AOTY,positive,praise_general,0.9,Album of the year,False,False
summer anthem,positive,praise_general,0.85,Perfect summer song,False,False
hottie,positive,praise_performance,0.8,Attractive person compliment,False,False
baddie,positive,praise_performance,0.8,"Attractive, confident person",False,False
hot bish,positive,praise_performance,0.8,"Attractive person, casual",False,False
bad bish,positive,praise_performance,0.8,"Confident, attractive person",False,False
hottie baddie,positive,praise_performance,0.85,Combined attractiveness praise,False,False
this fye,positive,praise_general,0.8,This is fire/excellent,False,True
this fye my boi,positive,praise_general,0.8,"This is excellent, friend",False,True
it's giving,positive,hype_excitement,0.75,It's providing/delivering,False,True
this will go crazy in the club,positive,praise_general,0.85,Will be popular in clubs,False,False
this ain't it chief,negative,criticism_negative,0.95,This is not good,False,False
mid,negative,criticism_negative,0.9,Mediocre/average in a bad way,False,True
basura,negative,criticism_negative,0.85,Trash (Spanish),False,False
this is basura,negative,criticism_negative,0.85,This is trash,False,False
went double wood,negative,criticism_negative,0.8,Sold very poorly (opposite of platinum),False,False
this went double wood,negative,criticism_negative,0.8,This sold very poorly,False,False
who approved this,negative,criticism_negative,0.85,Questioning quality control,False,False
who approved this?,negative,criticism_negative,0.85,Questioning decision making,False,False
turn it off,negative,criticism_negative,0.9,Stop playing this,False,False
nobody asked for this,negative,criticism_negative,0.85,Unwanted content,False,False
overrated,negative,criticism_negative,0.8,Gets more praise than deserved,False,False
this song is so overrated bro,negative,criticism_negative,0.8,Song gets too much praise,False,False
fell off,negative,criticism_negative,0.85,Quality declined,False,False
industry plant,negative,criticism_negative,0.75,Artificially promoted artist,False,False
flop,negative,criticism_negative,0.9,Commercial/artistic failure,False,False
flop — turn this off,negative,criticism_negative,0.9,"Failure, stop playing",False,False
skip,negative,criticism_negative,0.85,Not worth listening to,False,False
who asked for this remix,negative,criticism_negative,0.75,Unwanted remix,False,False
this ain't real hip-hop,negative,criticism_negative,0.7,Gatekeeping/authenticity criticism,False,False
sounds the same every track,negative,criticism_negative,0.75,Lack of variety criticism,False,False
switch up the flow,negative,criticism_constructive,0.7,Suggestion for improvement,False,False
flow is repetitive,negative,criticism_constructive,0.75,Technical criticism,True,False
mix sounds chaotic,negative,criticism_constructive,0.7,Production feedback,True,False
album rollout ain't rollouting,negative,criticism_constructive,0.65,Marketing criticism,False,False
need the instrumental,neutral,neutral_requests,0.9,Request for instrumental version,True,False
drop the visuals,neutral,neutral_requests,0.85,Request for music video,False,False
clean version pls,neutral,neutral_requests,0.8,Request for clean version,False,False
who mixed this,neutral,neutral_questions,0.85,Information request about mixing,True,False
who mixed this?,neutral,neutral_questions,0.85,Question about audio engineer,True,False
what's the sample,neutral,neutral_questions,0.9,Information request about sample,True,False
what's the sample?,neutral,neutral_questions,0.9,Question about musical sample,True,False
"Hottie, Baddie, Maddie",positive,praise_performance,0.85,Real fan comment - compliment sequence,False,False
Cuz I willie,positive,hype_excitement,0.7,Real fan comment - playful expression,False,True
my legs are spread,positive,hype_excitement,0.75,Real fan comment - excitement/anticipation,False,False
wtfff,positive,hype_excitement,0.7,Extended WTF showing excitement,False,True
wtf,neutral,hype_excitement,0.6,Can be positive or negative depending on context,False,False
fr,positive,hype_excitement,0.6,For real - agreement/emphasis,False,True
