comment_id,enhanced_aggressive_compound,enhanced_comprehensive_compound,enhanced_hybrid_compound,enhanced_minimal_compound,enhanced_moderate_compound,stock_vader_compound,enhanced_aggressive_sentiment,enhanced_comprehensive_sentiment,enhanced_hybrid_sentiment,enhanced_minimal_sentiment,enhanced_moderate_sentiment,stock_vader_sentiment,comment_text,artist
UgwENWxhPEhZekimzQx4AaABAg,0.9001,0.9001,0.9001,0.8402,0.9001,0.8074,positive,positive,positive,positive,positive,positive,I'm obsessed 😍 is there a full version of this song? 😊,Corook
UgwFHEn66EsjH6ES_5h4AaABAg,0.4753,0.0,0.0,0.0,0.0,0.0,positive,neutral,neutral,neutral,neutral,neutral,Gives me KDA vibes and I'm all for it!,Flyana Boss
UgwFkCIFm8-wPEeZzdB4AaABAg,0.4588,0.4588,0.4588,0.4588,0.4588,0.4588,positive,positive,positive,positive,positive,positive,i search this song after watch kinds of kindness trailer,COBRAH
UgwFuuFG7dkKgdBljH14AaABAg,0.8271,0.7096,0.7096,0.7096,0.7096,0.7096,positive,positive,positive,positive,positive,positive,"Early 2000s dirty south vibes, and i mean that in the best way.  This is fantastic.",Flyana Boss
UgwHgR5_FNmQ2NOIG0l4AaABAg,0.3612,0.3612,0.0,0.0,0.0,0.0,positive,positive,neutral,neutral,neutral,neutral,Mother feeding us our summer bops,COBRAH
UgwHmDEQBpnei3mPTrN4AaABAg,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral,neutral,neutral,neutral,Midsommar deleted scene.,COBRAH
UgwIM50BX6rDExOJzCN4AaABAg,0.4836,0.3818,0.3818,0.3818,0.3818,-0.5423,positive,positive,positive,positive,positive,negative,"Fire drop, from favourite artist",re6ce
UgwIjvP_Xosj4uuqQUR4AaABAg,0.7156,0.7405,0.7405,0.7405,0.7405,0.7405,positive,positive,positive,positive,positive,positive,THIS IS PHENOMENAL!!! Just a whole Masterpiece!!,Corook
UgwJ85vgjc1f8y3WmI54AaABAg,0.6416,0.5719,0.5719,0.5719,0.5719,-0.34,positive,positive,positive,positive,positive,negative,Young Lyricist's right here 🔥 need more of this duo 💯,BiC Fizzle
UgwM5yNS7uSkhgsVqCp4AaABAg,0.6369,0.6369,0.6369,0.6369,0.6369,0.6369,positive,positive,positive,positive,positive,positive,I love her unique flow in her rapping style,Flyana Boss
UgwM9f3z8tyimE0mCBp4AaABAg,0.9719,0.9719,0.9719,0.9719,0.9719,0.9719,positive,positive,positive,positive,positive,positive,Love this ❤❤❤❤,Flyana Boss
UgwMVhlHb12eFUOcyNh4AaABAg,0.9289,0.9289,0.9289,0.9289,0.9289,0.9289,positive,positive,positive,positive,positive,positive,"I’m on my 10th loop, I’ve sent it to two friends because your song writing and vocal choices are just so perfect. Thank you for sharing!",Corook
UgwNjtnQuSyej5rWxnd4AaABAg,0.5161,0.5161,0.5161,0.5161,0.5161,0.5161,positive,positive,positive,positive,positive,positive,"LYRICS GO SO HARD, GONNA STREAM RN AHHH I LOVE YALL",Flyana Boss
UgwQ0AAEsNhzOLojTpV4AaABAg,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral,neutral,neutral,neutral,I came form 2023 🗿,Flyana Boss
UgwQCi3vpw_Ju8FwL2B4AaABAg,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral,neutral,neutral,neutral,Come on mama. Get it💃🏾💃🏾💃🏾,Flyana Boss
UgwQL9id1xR1y1meQNx4AaABAg,0.4939,0.4939,0.4939,0.4939,0.4939,0.4939,positive,positive,positive,positive,positive,positive,This is adorable,Corook
UgwS1f-MYRa53mszjjp4AaABAg,0.9433,0.9433,0.9433,0.9433,0.9433,0.9433,positive,positive,positive,positive,positive,positive,"I have no idea how you have the power to make every song feel so nostalgic 💖 it's beautiful, so glad we have a voice like yours. Keep it up💪🏾",Corook
UgwT97PQC3_CtrYQ2_J4AaABAg,0.4404,0.4404,0.4404,0.4404,0.4404,0.4404,positive,positive,positive,positive,positive,positive,ever since i found re6ce my life has gotten a bit better each day.,re6ce
UgwTa7M2VY1nkak2gMV4AaABAg,0.9337,0.9337,0.9337,0.9337,0.9337,0.9337,positive,positive,positive,positive,positive,positive,😂 i love your acting and plus your songs are just **chefs kiss** ❤,Corook
UgwUJfaXbnrLPxikcIB4AaABAg,0.3975,0.3975,0.3975,0.3975,0.3975,0.3975,positive,positive,positive,positive,positive,positive,She's 100% the coworker the whole place collectively doesn't ever want to work with 😂,Flyana Boss
UgwUV4gY7GQM68lUX6B4AaABAg,0.6369,0.6369,0.6369,0.6369,0.6369,0.6369,positive,positive,positive,positive,positive,positive,This is a 2 and a half minute mobile tiny desk concert and also one of the best things i've seen in a minute,Flyana Boss
UgwUnQlE5taqzf38dw94AaABAg,0.9444,0.926,0.926,0.926,0.926,-0.5859,positive,positive,positive,positive,positive,negative,That picture or her is giving Hellraiser.🔥🔥🔥,COBRAH
UgwUu-Sm5vJG9S5CITp4AaABAg,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral,neutral,neutral,neutral,THAT is what you call stage presence,Flyana Boss
UgwUua5940B27tGAPq14AaABAg,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,positive,positive,positive,positive,positive,positive,I SERIOUSLY love this song…. Please make these different clips to a full  music video to the song…. Seriously ✌🏻,Corook
UgwV2G7SpkclvY7GVi14AaABAg,0.9784,0.9784,0.9784,0.9784,0.9784,0.9784,positive,positive,positive,positive,positive,positive,"❤❤❤ 😊

THAT PUPPY IS THE MAIN ATTRACTION 😍",Flyana Boss
UgwVewtcdRby44arKAt4AaABAg,0.3774,0.3774,0.3774,0.3774,0.3774,0.3774,positive,positive,positive,positive,positive,positive,The uniqueness is so dope please don't ever change ladies,Flyana Boss
UgwZ9QHWY_8y05PyNcx4AaABAg,0.7184,0.7184,0.7184,0.7184,0.7184,0.7184,positive,positive,positive,positive,positive,positive,Literally going to blow up😻😻👑👑👑,Flyana Boss
UgwcNq7ew_ugViec72x4AaABAg,0.784,0.784,0.784,0.784,0.784,0.784,positive,positive,positive,positive,positive,positive,"As someone chronically ill in a degenerative way, I just broke down crying (in a good way). This song is so beautiful and hits a personal nerve in the best way. Thank you.",Corook
UgwcTDMd8kA8RIM5ol14AaABAg,0.7964,0.7964,0.7964,0.7964,0.7964,0.7964,positive,positive,positive,positive,positive,positive,This is gonna go viral 😂❤,Flyana Boss
UgwdLKEn3Zm572NAkid4AaABAg,0.9828,0.9761,0.9761,0.9761,0.9761,-0.8807,positive,positive,positive,positive,positive,negative,Yeah this is going on the gym playlist 🔥🔥🔥🔥🔥🔥,Flyana Boss
UgwdTP1WInuCe9VT7_h4AaABAg,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral,neutral,neutral,neutral,FIREEE,Flyana Boss
Ugwe8Og4I9UMrQQrzZF4AaABAg,0.8519,0.8519,0.8519,0.8519,0.8519,0.8519,positive,positive,positive,positive,positive,positive,"You're awesome Corook, don't let those idiots who've never made a thing in their lives slow you down ❤",Corook
UgwfJbISKgWY5vTJ3bB4AaABAg,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral,neutral,neutral,neutral,Corook your voice is unreal,Corook
Ugwg6PKLiTja2lWYjxh4AaABAg,0.6369,0.6369,0.6369,0.6369,0.6369,0.6369,positive,positive,positive,positive,positive,positive,This is the best visualizer I've ever seen,re6ce
Ugwglh5IQXhv79hG1xB4AaABAg,0.1487,0.1487,0.1487,0.1487,0.1487,0.1487,positive,positive,positive,positive,positive,positive,Whoever films yalls stuff is actually nuts such good cinematography,Flyana Boss
Ugwjo6gz6uVDIV29uht4AaABAg,0.6997,0.6997,0.6997,0.1513,0.1513,0.1513,positive,positive,positive,positive,positive,positive,"It’s crazy how pain, can create something so beautiful",Raiche
Ugwju3p5Q-FfFgJR_4t4AaABAg,0.6369,0.6369,0.6369,0.6369,0.6369,0.6369,positive,positive,positive,positive,positive,positive,Ya’ll so fly and I love that blue. Gurl 🫰🏾,Flyana Boss
UgwmCrOt0Vl1SVKUlTJ4AaABAg,0.926,0.926,0.926,0.926,0.926,0.926,positive,positive,positive,positive,positive,positive,"I love it, great voice Olivia ❤",Corook
UgwndMOxJ0HQcQ5L6YR4AaABAg,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral,neutral,neutral,neutral,Facts. That hair be thin af. We got to buy more than the usual pack for braids.,Flyana Boss
Ugwnx4OyuDpmttYfa-B4AaABAg,-0.6715,-0.6715,-0.6715,-0.6715,-0.6715,-0.6715,negative,negative,negative,negative,negative,negative,"I'm not a black man , infact I'm an east asian woman but hear me out i can carry your groceries ?? 😭",Flyana Boss
UgwoRDYdeTP8P-kdXEd4AaABAg,-0.5574,-0.5574,-0.5574,-0.5574,-0.5574,-0.5574,negative,negative,negative,negative,negative,negative,"That whole lyric sequence is on point

Hello christ

Im bout to sin again

Its just so fucking catchy",Flyana Boss
UgwohDU_WdYB0KdYG0h4AaABAg,0.8268,0.8268,0.8268,0.8268,0.8268,0.8268,positive,positive,positive,positive,positive,positive,"You remind me so much of my kid. I recently found your music and I really like it. Keep going, keep growing & keep being you ❤",Corook
UgwqCfzkCxKZEsCarcd4AaABAg,0.8519,0.8519,0.8519,0.7096,0.8519,0.7096,positive,positive,positive,positive,positive,positive,"It's such a bop, plus it's cute and funny. 10/10.",Corook
UgwrCQ1wSZqNVIk7q3R4AaABAg,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral,neutral,neutral,neutral,"""Money don't grow on trees but it do on me"" 💅🏾",Flyana Boss
UgwrD-Oo_-HoBRARRIF4AaABAg,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral,neutral,neutral,neutral,Bro really took his time on this album ✅,BiC Fizzle
UgwrUMEHwyoeJEPY5Q14AaABAg,0.985,0.985,0.985,0.985,0.985,0.985,positive,positive,positive,positive,positive,positive,"This is not hyperbole - you are seriously my favorite new artist. I don't know how you do it, but you just keep getting better and better! I can't thank you enough for sharing your heart, your thoughts, your words, your truth... so expressively beautiful. Fan for life!! 🐸🩰",Corook
Ugwsixk1xz6Fntjo0r94AaABAg,0.875,0.875,0.875,0.875,0.875,0.875,positive,positive,positive,positive,positive,positive,Future of music 💓,COBRAH
UgwsmNTZCvFXarvXUmB4AaABAg,-0.3818,-0.3818,-0.3818,-0.3818,-0.3818,-0.3818,negative,negative,negative,negative,negative,negative,Sitting here as a queer person in a parking lot of a church just waiting on my family to get out and sobbing my eyes out.. this song hits all the right things and just… oof,Corook
UgwtRox3j75Ie3L0q0d4AaABAg,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral,neutral,neutral,neutral,“Sneak dissin is high treason” Bruh. 👀👀👀👏🏽,Flyana Boss
UgwubJAfvSBiTNMirS14AaABAg,0.7767,0.7767,0.7767,0.5229,0.7767,0.5229,positive,positive,positive,positive,positive,positive,Another bop like always!!!,Flyana Boss
UgwxdJCFgss1ZUaGart4AaABAg,0.5267,0.4588,-0.1779,-0.1779,-0.1779,-0.1779,positive,positive,negative,negative,negative,negative,Obsessed with the little exit chorus at the end,COBRAH
UgwzD9KKJraPmdwRRot4AaABAg,0.9505,0.9286,0.9286,0.9286,0.9286,-0.8661,positive,positive,positive,positive,positive,negative,They dope as a mf.....Letssss go🔥🔥🔥🔥🔥They are very unique they not looking like everyone else...They got there own style they got something with this...They are mf superstars in the mf making....,Flyana Boss
Ugx-RYsYMkkmi-Tt6YZ4AaABAg,0.7053,0.6523,0.6523,0.6523,0.6523,0.0,positive,positive,positive,positive,positive,neutral,I’m begging for a longer version. This song SLAPS,Flyana Boss
Ugx-iX7y7j0FZe1zQ294AaABAg,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,negative,negative,negative,negative,negative,negative,"This is like some Britney, Gaga and Die Antwoord style mixed together",COBRAH
Ugx0v614CPCOAxs2JgZ4AaABAg,0.8074,0.8074,0.8074,0.6369,0.8074,0.6369,positive,positive,positive,positive,positive,positive,Love it ladies keep it going the visuals are iconic,Flyana Boss
Ugx28-_Vq75ZqnRpCRp4AaABAg,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral,neutral,neutral,neutral,The real fizzle is named Fizzle,BiC Fizzle
Ugx2r8vpAYoxmmStLx14AaABAg,0.5906,0.5906,0.5906,0.5906,0.5906,0.5906,positive,positive,positive,positive,positive,positive,THIS IS LIVE ONE OF MY NEW FAVES from them I literally adore this chorus,Flyana Boss
Ugx4NnojS95S4ZTzA1l4AaABAg,0.8516,0.8516,0.8516,0.5562,0.5562,0.5562,positive,positive,positive,positive,positive,positive,This is one of my favorite songs in the WORLD and now it’s covered by one of my favorite artists?! <333 this is insane,re6ce
Ugx5GOXWUWlJXokEuVl4AaABAg,0.4576,0.4576,0.4576,0.4576,0.4576,0.4576,positive,positive,positive,positive,positive,positive,Been stuck in my head for weeks now. Very happy to hear the full song,Corook
Ugx5f8w04AjY_E_YYwh4AaABAg,0.9542,0.9348,0.9348,0.9348,0.9348,-0.8667,positive,positive,positive,positive,positive,negative,This beat so hard mane 🔥🔥🔥🔥🔥🫱🏾‍🫲🏿,BiC Fizzle
Ugx5mXNOjhkkV9OQ_O94AaABAg,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral,neutral,neutral,neutral,Who's here after seeing the new Emma Stone's movie trailer?,COBRAH
Ugx6ZqaaSbqMV1RYPA54AaABAg,0.784,0.784,0.784,0.784,0.784,0.784,positive,positive,positive,positive,positive,positive,I love how strange and adorable they are!,Flyana Boss
UgxA2pSle0TKHzI-VFp4AaABAg,0.4404,0.4404,0.4404,0.4404,0.4404,0.4404,positive,positive,positive,positive,positive,positive,Mum and daughter carbon copy of each other 😂,Flyana Boss
UgxA85dOnnEa_056nRh4AaABAg,0.929,0.9022,0.9022,0.9022,0.9022,-0.7351,positive,positive,positive,positive,positive,negative,The album gonna be🔥🔥🔥💃🏾💃🏾💃🏾💃🏾,Flyana Boss
UgxBifOK9a2l6YTiOid4AaABAg,0.9001,0.8591,0.8591,0.8591,0.8591,0.8591,positive,positive,positive,positive,positive,positive,Full version please☺️ i love the song's vibe❤️,Corook
UgxCC7zdMNb1n_MtrJl4AaABAg,0.6666,0.6666,0.6666,0.6666,0.6666,0.6666,positive,positive,positive,positive,positive,positive,"this song is so wholesome, i love it so much :,-)",Corook
UgxCfvA-FBd8P4pi3Pp4AaABAg,0.4836,0.3818,0.3818,0.3818,0.3818,-0.5423,positive,positive,positive,positive,positive,negative,Everything these ladies drop be fire.🙏,Flyana Boss
UgxCzbWfGCnC3cny-294AaABAg,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral,neutral,neutral,neutral,Gonna be a long journey: all those places are across the Atlantic,Corook
UgxDYBBql6MvI2rzX6N4AaABAg,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral,neutral,neutral,neutral,Self Made sent me!!!❤️,Raiche
UgxFCjLVs5M6_0IWPN14AaABAg,0.6416,0.5719,0.5719,0.5719,0.5719,-0.34,positive,positive,positive,positive,positive,negative,"""I'm a beast I thought I said"" fire line",Flyana Boss
UgxFhzCCk3qPUaTSQZR4AaABAg,0.7717,0.7717,0.7717,0.7717,0.7717,0.7717,positive,positive,positive,positive,positive,positive,This is what it looks like when I fall in love. Can't get close enough. Must be melted into you.,COBRAH
UgxIgOqxwFC_AO-uGpR4AaABAg,0.0258,0.0258,0.0258,0.0258,0.0258,0.0258,neutral,neutral,neutral,neutral,neutral,neutral,When you went to college for the party but COVID happened so all you got was a boring degree (and 50 grand in debt) 😔,Corook
UgxKkKJGjkApnw9hSt14AaABAg,0.6666,0.6666,0.6666,0.6666,0.6666,0.6666,positive,positive,positive,positive,positive,positive,COBRAH U NEED TO MAKE MORE MUSIC I LOVE U,COBRAH
UgxMfInldfGhTm25LR54AaABAg,0.6269,0.6269,0.6269,0.6269,0.6269,0.6269,positive,positive,positive,positive,positive,positive,PERIOD YOU LOOK SO PRETTY,Flyana Boss
UgxMxf_VP79qQExytGF4AaABAg,0.5859,0.5859,0.5859,0.5859,0.5859,0.5859,positive,positive,positive,positive,positive,positive,"Hell yeah 👍😎 married to the bank account. Also, Pikachu ❤️🤍🖤",Flyana Boss
UgxNAzqzEgQzdvWF4qZ4AaABAg,0.8326,0.8326,0.8326,0.6369,0.8326,0.6369,positive,positive,positive,positive,positive,positive,"Quavo just totally ate this one, sheeesh love it",BiC Fizzle
UgxNPDGKkNmlLkx2QoR4AaABAg,-0.5209,-0.5209,-0.5209,-0.5209,-0.5209,-0.5209,negative,negative,negative,negative,negative,negative,your music is so underrated 😭🫶⭐️,re6ce
UgxNWTqpcqIK82FIpIp4AaABAg,0.8625,0.8625,0.8625,0.6597,0.6597,0.6597,positive,positive,positive,positive,positive,positive,Lmao they drive me crazy too bic 😂,BiC Fizzle
UgxNtGdPH83H--7mIa94AaABAg,0.4026,0.4026,0.7622,0.4026,0.4026,0.4026,positive,positive,positive,positive,positive,positive,I am so excited 😆 I want Ludacris to see this and be featured on your song. It's so damn addictive,Flyana Boss
UgxOJBWUrWI6sLQK0jx4AaABAg,0.6239,0.6239,0.6239,0.6239,0.6239,0.6239,positive,positive,positive,positive,positive,positive,"Your melodies and lyrics are top notch! Glad I ""discovered"" you.",Corook
UgxOXx0_D5fZsllTH4d4AaABAg,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral,neutral,neutral,neutral,Self made yassssss,Raiche
UgxOk2NJdlvnNpGPYOh4AaABAg,0.5622,0.5622,0.5622,0.5622,0.5622,0.5622,positive,positive,positive,positive,positive,positive,OMGG HARRY IS SUCH A GOOD DANCER STAN DKB 🫶🫶‼️‼️,Flyana Boss
UgxQ2_AKxyBJtHHHaKN4AaABAg,-0.4184,-0.4184,-0.4184,-0.4184,-0.4184,-0.4184,negative,negative,negative,negative,negative,negative,Wait wait wait!! I mustve missed so much.,Flyana Boss
UgxR2rir5BcOtp4w5sp4AaABAg,-0.1635,-0.1635,-0.1635,-0.1635,-0.1635,-0.1635,negative,negative,negative,negative,negative,negative,2025 and no likes.    Thank for the 10 likes,BiC Fizzle
UgxR5_skdEYYXFHjgl54AaABAg,0.7269,0.7269,0.7269,0.7269,0.7269,0.7269,positive,positive,positive,positive,positive,positive,I truly appreciate that you guys tease the beginning and it's not just a loop for 2 mins lol,Flyana Boss
UgxS8dUVHlSduX4VQbp4AaABAg,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral,neutral,neutral,neutral,2 squeaks. Beginning and end 🙌🏿,Flyana Boss
UgxSDs-OysNEu_CyfnJ4AaABAg,-0.6369,-0.6369,-0.6369,-0.6369,-0.6369,-0.6369,negative,negative,negative,negative,negative,negative,Girls please drop this asap the suspense is killing me,Flyana Boss
UgxSi_5LEILqZjN_ikt4AaABAg,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral,neutral,neutral,neutral,This song is me on every camping trip I have ever gone on.,Corook
UgxTGmAaESPoSbb883t4AaABAg,-0.4023,-0.4023,-0.4023,-0.4023,-0.4023,-0.4023,negative,negative,negative,negative,negative,negative,You simply wouldn't have survived the 80s/90s...,Corook
UgxTKPm4o-NXK5tR_oV4AaABAg,0.4215,0.0,0.0,0.0,0.0,0.0,positive,neutral,neutral,neutral,neutral,neutral,TLC vibes,Flyana Boss
UgxUKLRiDMDB3GSN8wZ4AaABAg,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,negative,negative,negative,negative,negative,negative,Time to get drunk in my room and blast this.,Flyana Boss
UgxW4tQ7M5WCPzwxCKV4AaABAg,0.2714,0.2714,0.2714,0.2714,0.2714,0.2714,positive,positive,positive,positive,positive,positive,"eat. sleep. rave. repeat. 💜such aural artistry you unceasingly brew. my eyes literally shot wide open listening to this! undoubtedly, my top favourite track of yours.",COBRAH
UgxXAC0rXT-sYlFkA8x4AaABAg,0.6696,0.6696,0.6696,0.6696,0.6696,0.6696,positive,positive,positive,positive,positive,positive,Every song hits a different part of my heart.  I can't wait for the full release on this one! ❤️,Corook
UgxXV-hPeC_dJhvwcDJ4AaABAg,0.9738,0.9633,0.9633,0.9633,0.9633,-0.8625,positive,positive,positive,positive,positive,negative,She building all the anticipation 🔥🔥🔥🔥🔥,COBRAH
UgxXk7KmvlfnIimrY_J4AaABAg,0.8993,0.8993,0.8993,0.8993,0.8993,0.8993,positive,positive,positive,positive,positive,positive,Please record this entire version with Olivia. I love this so much. ❤,Corook
UgxXkxXS723iqnmiSkt4AaABAg,0.938,0.938,0.938,0.938,0.938,0.938,positive,positive,positive,positive,positive,positive,The way teddy looks at you ❤❤❤!!!,Raiche
UgxYHXUNah21YM5IMiF4AaABAg,0.6597,0.6597,0.6597,0.6597,0.6597,0.6597,positive,positive,positive,positive,positive,positive,am here just cause of Teddy when you support you support,Raiche
UgxZ6zPRJnXXS1rzRkV4AaABAg,0.8555,0.8555,0.8555,0.8555,0.8555,0.8555,positive,positive,positive,positive,positive,positive,Tem como não gostar de uma música delas? ❤❤❤🇧🇷,Flyana Boss
UgxZAV9t09ftdFXpoF94AaABAg,0.5823,0.4997,0.4997,0.4997,0.4997,-0.434,positive,positive,positive,positive,positive,negative,"My girls are eating and leaving NO crumbs for the haters.
As successful as y'all are, considering how talented and how much of a fire bangger all the music is, y'all are SERIOUSLY underrated ❤️",Flyana Boss
UgxZCKj_hEtesIqM6pt4AaABAg,0.7378,0.7378,0.7378,0.7378,0.7378,0.7378,positive,positive,positive,positive,positive,positive,Andre Big boi clean. NICE,Flyana Boss
UgxawKtWkywDpWG6Fmt4AaABAg,0.787,0.7506,0.7506,0.7506,0.7506,0.0772,positive,positive,positive,positive,positive,positive,I wish he would make his songs longer mane🔥🤧,BiC Fizzle
UgxayeAoS6pKbD6rSCl4AaABAg,0.2954,0.2017,-0.4409,-0.4409,-0.4409,-0.4409,positive,positive,negative,negative,negative,negative,Ain't seen nothing this original in a minute. Obsessed.,Flyana Boss
UgxcxyG6JAfqFfO8aHd4AaABAg,0.4939,0.4939,0.4939,0.4939,0.4939,0.4939,positive,positive,positive,positive,positive,positive,I've never wanted to see someone succeed as much as these 2,Flyana Boss
UgxdxFWmayafIjbcxAd4AaABAg,0.9601,0.9601,0.9601,0.9601,0.9601,0.9601,positive,positive,positive,positive,positive,positive,"To whoever is listening to this song now, wherever you are.... Sending you love, peace, healing and all good wishes. May your life be good❤",re6ce
UgxezKORe_WKqGkPXl14AaABAg,0.9259,0.9259,0.9259,0.9259,0.9259,0.9259,positive,positive,positive,positive,positive,positive,"You get what you accept, not what you deserve!
Wow. Great lyrics. Wish i could send this to my teenage self.",Flyana Boss
Ugxf99FFF4ArsiARuPt4AaABAg,0.2075,0.2075,0.2075,0.2075,0.2075,0.2075,positive,positive,positive,positive,positive,positive,You have a knack for writing the most relatably sad yet comforting songs on the internet. Thank you for this crumb.,Corook
